timestamp,id,price,q
1500593135532,61032361,2794.3346,8.50776512
1500593135609,61032364,2779.3031,0.0
1500593135822,61032368,2771.1003,0.3505246
1500593135861,61032369,2769.5388,0.04512018
1500593137177,61032383,2777.9081,0.41009149
1500593138247,61032398,2853.5281,22.60394659
1500593138247,61032398,2816.8847,0.0
1500593139243,61032409,2794.3346,0.0
1500593139243,61032409,2803.4863,8.50776512
1500593139300,61032412,2777.2696,0.0
1500593139639,61032415,2769.31,0.032
1500593139828,61032421,2783.9231,0.0
1500593139828,61032421,2784.4705,2.10587755
1500593140857,61032434,2773.7974,0.90949023
1500593140900,61032436,2789.2105,2.28785846
1500593140900,61032436,2784.4706,0.0
1500593141018,61032438,2769.4198,0.0
1500593141018,61032438,2771.1002,0.20514102
1500593141674,61032441,2803.4863,0.0
1500593141674,61032441,2806.8695,8.50776512
1500593142232,61032443,2789.2104,1.76854434
1500593142232,61032443,2781.1956,0.0
1500593142882,61032448,2772.483,0.0
1500593142882,61032449,2884.7072,0.0
1500593143667,61032452,2789.2105,0.0
1500593143667,61032452,2791.2405,2.28785846
1500593144071,61032454,2883.8866,1.41
1500593144175,61032455,2800,0.57912998
1500593144330,61032456,2779.3032,0.0
1500593144330,61032456,2789.5599,0.44388324
1500593144940,61032460,2779.1509,0.98055238
1500593145756,61032463,2771.1005,0.0
1500593146069,61032467,2769.42,0.52703341
1500593146565,61032470,2789.5599,3.49056469
1500593146565,61032470,2784.0819,0.0
1500593146670,61032472,2780.5038,0.97479135
1500593147727,61032474,2791.2405,0.0
1500593147727,61032474,2789.3161,2.28785846
1500593147728,61032475,2772.3771,0.0
1500593147821,61032477,2771.1002,0.0
1500593147821,61032477,2769.4198,0.20514102
1500593148429,61032478,2769.4198,0.0
1500593148429,61032478,2769.31,0.0
1500593148429,61032478,2769.4199,0.0121329
1500593148533,61032479,2806.8695,0.0
1500593148533,61032479,2803.4959,8.50776512
1500593148807,61032480,2769.3099,0.01
1500593149030,61032482,2769.4199,0.0
1500593149030,61032482,2769.3099,0.0
1500593149030,61032482,2769.42,0.21583297
