timestamp,id,price,q
1500593105983,61401474,0.08375421,22.999725
1500593106366,61401476,0.08307371,113.41391
1500593106593,61401480,0.08307363,4.50856
1500593108551,61401482,0.08307363,0.0
1500593108605,61401483,0.08712,242.33993
1500593108605,61401483,0.08629,89.27571
1500593108625,61401484,0.0861799,0.0
1500593111220,61401489,0.08307369,10.0
1500593113602,61401496,0.08711,35.51646
1500593113602,61401496,0.08629,54.37802
1500593113909,61401497,0.08307369,0.0
1500593113993,61401498,0.08307366,0.708
1500593114073,61401499,0.08307366,0.0
1500593114211,61401500,0.0830736,0.70722
1500593114513,61401504,0.0830736,0.0
1500593114838,61401505,0.08307367,0.15538
1500593115007,61401507,0.08307361,2.39396
1500593115357,61401508,0.08138088,0.0
1500593115357,61401508,0.0818506,0.440767
1500593115587,61401509,0.0830736,3.99074
1500593115589,61401510,0.0871884,0.0
1500593115589,61401510,0.0878733,6.375878
1500593116580,61401513,0.08307371,0.0
1500593116726,61401515,0.08307367,0.0
1500593117021,61401516,0.08307361,0.0
1500593117364,61401518,0.0830736,0.0
1500593118018,61401521,0.08628997,1.9955
1500593119785,61401525,0.08712,297.2632
1500593119785,61401525,0.08629,0.0
1500593120101,61401526,0.08628997,0.0
1500593121332,61401531,0.0818506,0.0
1500593121332,61401531,0.08195042,0.440767
1500593124132,61401535,0.08659991,0.86979
1500593125089,61401537,0.08375421,0.0
1500593125183,61401538,0.08659991,0.0
1500593125656,61401539,0.08397487,22.999725
1500593126541,61401540,0.08339989,113.41391
1500593127008,61401544,0.08339999,0.0
1500593127472,61401545,0.08474999,33.763
1500593127987,61401549,0.08474999,0.0
1500593128513,61401554,0.08369999,33.763
1500593129339,61401555,0.08204879,0.440767
1500593129339,61401555,0.08195042,0.0
1500593129935,61401556,0.08339979,3.89253
1500593131487,61401560,0.08136911,6.094175
1500593131793,61401561,0.08369999,0.0
1500593131793,61401562,0.08339979,0.0
1500593132187,61401564,0.08474999,33.763
1500593132872,61401566,0.08474999,0.0
1500593133918,61401567,0.08397486,33.763
1500593134724,61401570,0.08339986,4.45944
1500593139350,61401583,0.08213184,0.440767
1500593139350,61401583,0.08204879,0.0
1500593139394,61401584,0.0833998,5.54056
1500593144795,61401600,0.08136911,5.988268
1500593145123,61401605,0.08397487,0.0
1500593146670,61401609,0.08339989,0.0
1500593146789,61401610,0.08339986,0.0
1500593148121,61401615,0.08136911,0.0
1500593148289,61401617,0.08153184,2.0
1500593148506,61401621,0.08397486,0.0
1500593149215,61401624,0.08474999,33.763
1500593149915,61401626,0.08153184,0.0
1500593150042,61401627,0.0833998,0.0
1500593150304,61401629,0.08659997,10.0
1500593150692,61401630,0.08676,35.9692
1500593150779,61401631,0.09774,0.0
1500593152209,61401635,0.08213147,6.133471
1500593153008,61401640,0.0814809,0.207345
1500593157142,61401648,0.0833997,113.41391
1500593157383,61401650,0.08206413,0.440767
1500593157383,61401650,0.08213184,0.0
1500593158191,61401652,0.0814809,0.0
1500593158191,61401652,0.08153185,0.207345
1500593159132,61401656,0.08213147,0.0
1500593159356,61401659,0.08206376,6.133471
1500593160204,61401664,0.08659997,0.0
1500593161331,61401668,0.08753,76.32704
1500593161331,61401668,0.0866,0.0
1500593161457,61401669,0.08339966,10.0
1500593161757,61401670,0.08339966,0.0
1500593162036,61401672,0.0878733,0.0
1500593162036,61401672,0.08687729,6.375878
1500593162336,61401679,0.08206376,0.0
1500593162578,61401680,0.08339933,6.133471
1500593162639,61401681,0.08339927,0.99213
1500593162884,61401682,0.0845,47.53368
1500593164032,61401687,0.08868,24.37625
1500593164094,61401689,0.08339929,9.00787
1500593164677,61401691,0.08339929,0.0
1500593164678,61401692,0.08206413,0.0
1500593164811,61401694,0.0833992,3.70724
1500593165438,61401696,0.08390677,22.999725
1500593165558,61401698,0.08339924,5.30063
1500593166450,61401701,0.08339933,0.0
1500593166508,61401702,0.08687729,0.0
1500593166508,61401702,0.087912,6.375878
1500593166672,61401704,0.08339883,6.133471
1500593166834,61401705,0.0833997,0.0
1500593167851,61401707,0.08153185,0.0
1500593168636,61401710,0.08753,128.48306
1500593168636,61401710,0.0845,0.0
1500593170154,61401716,0.08712597,6.375878
1500593170154,61401716,0.087912,0.0
1500593170786,61401719,0.08339882,0.606687
1500593172472,61401725,0.08474999,0.0
1500593172759,61401730,0.08339927,0.0
1500593173344,61401732,0.08390676,33.763
1500593175223,61401737,0.0833992,0.0
1500593176324,61401740,0.08390676,0.0
1500593176359,61401743,0.08339924,0.0
1500593176538,61401746,0.08339881,26.410935
1500593176678,61401748,0.08665992,10.0
1500593177195,61401749,0.08772,87.58691
1500593177195,61401749,0.08666,0.0
1500593177463,61401752,0.08339881,20.277464
1500593177683,61401753,0.08537799,33.763
1500593179184,61401757,0.08339883,0.0
1500593180025,61401759,0.08339844,6.133471
1500593180655,61401762,0.08339882,0.0
1500593180655,61401762,0.08339999,0.606687
1500593181290,61401766,0.08339999,0.0
1500593181290,61401766,0.08339843,0.60669
1500593181513,61401768,0.0864225,6.375878
1500593181513,61401768,0.08712597,0.0
1500593183145,61401771,0.08673,135.98244
1500593183145,61401771,0.08772,136.96369
1500593184936,61401776,0.08339842,2.0
1500593185046,61401777,0.08537799,0.0
1500593185450,61401778,0.08474999,33.763
1500593186371,61401780,0.08339841,1.086074
1500593186371,61401780,0.08339843,0.0
1500593186541,61401781,0.08339842,0.0
1500593186541,61401781,0.0833984,2.0
1500593186565,61401782,0.08665992,0.0
1500593186637,61401785,0.08672991,10.0
1500593187642,61401786,0.08339843,1.086074
